OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI
-,-,-,-,-,-,75,3147.35,3491.40,75,6100.00,27900,0.05,0.10,1575,-,0.10,245.37,1598,-59925,39825
-,-,-,-,-,-,7350,3034.65,3547.40,7350,6150.00,375,0.05,0.20,300,-,0.25,258.42,1072,150,675
-,-,-,-,-,-,7350,2993.30,3497.35,7350,6200.00,-,-,0.30,3000,-0.20,0.15,243.83,1203,75,75
-,-,-,-,-,-,7350,2945.10,3445.80,7350,6250.00,-,-,1.00,4800,-,-,-,-,-,-
-,-,-,-,-,-,7350,2901.25,3392.95,7350,6300.00,-,-,0.90,3000,-,-,-,-,-,-
-,-,-,-,-,-,7350,2855.40,3335.15,7350,6350.00,-,-,1.00,4800,-,-,-,-,-,-
-,-,-,-,-,-,7350,2811.00,3278.55,7350,6400.00,-,-,0.85,4500,-,-,-,-,-,-
-,-,-,-,-,-,7350,2765.15,3223.20,7350,6450.00,-,-,0.85,1500,-,-,-,-,-,-
-,-,-,-,-,-,7350,2720.00,3080.40,7350,6500.00,43875,0.05,0.10,75,-0.05,0.10,211.14,3383,-24300,4200
-,-,-,-,-,-,7350,2674.35,3117.25,7350,6550.00,-,-,1.00,3600,-,-,-,-,-,-
-,-,-,-,-,-,7350,2632.30,3060.80,7350,6600.00,-,-,0.80,4500,-,-,-,-,-,-
-,-,-,-,-,-,7350,2584.65,3006.25,7350,6650.00,-,-,1.00,3600,-,-,-,-,-,-
-,-,-,-,-,-,7350,2542.05,2950.45,7350,6700.00,-,-,0.90,3000,-,-,-,-,-,-
-,-,-,-,-,-,7350,2494.40,2895.95,7350,6750.00,-,-,1.00,3600,-,-,-,-,-,-
-,-,-,-,-,-,7350,2451.80,2892.35,7350,6800.00,-,-,0.90,3000,-,-,-,-,-,-
-,-,-,-,-,-,7350,2404.85,2816.85,7350,6850.00,-,-,1.00,3600,-,-,-,-,-,-
-,-,-,-,-,-,7350,2358.45,2780.45,7350,6900.00,-,-,0.90,3000,-,-,-,-,-,-
-,-,-,-,-,-,7350,2313.35,2728.85,7350,6950.00,-,-,0.95,750,-,-,-,-,-,-
75,-,-,-,-,-,7350,2268.15,2525.35,1125,7000.00,75750,0.05,0.10,2925,-0.10,0.10,162.62,3109,-73950,61650
-,-,-,-,-,-,7350,2224.35,2597.80,7350,7050.00,-,-,1.00,4500,-,-,-,-,-,-
-,-,-,-,-,-,7350,2179.25,2543.15,7350,7100.00,-,-,0.85,2100,-,-,-,-,-,-
-,-,-,-,-,-,7350,2133.40,2486.95,7350,7150.00,-,-,1.00,3600,-,-,-,-,-,-
-,-,-,-,-,-,7350,2088.35,2449.80,7350,7200.00,-,-,0.90,2100,-,-,-,-,-,-
-,-,-,-,-,-,7350,2043.10,2398.55,7350,7250.00,-,-,1.00,3600,-,-,-,-,-,-
-,-,-,-,-,-,7350,1904.90,2342.65,7350,7300.00,-,-,0.90,2100,-,-,-,-,-,-
-,-,-,-,-,-,7350,1848.50,2269.45,7350,7350.00,-,-,1.00,4500,-,-,-,-,-,-
-,-,-,-,-,-,7350,1798.50,2218.10,7350,7400.00,-,-,0.90,2100,-,-,-,-,-,-
-,-,-,-,-,-,7350,1755.15,2152.65,7350,7450.00,-,-,0.95,750,-,-,-,-,-,-
-,-,-,-,-,-,75,1774.95,1987.85,1200,7500.00,23400,0.10,0.15,1500,-0.35,0.10,133.02,1526,-17700,104625
-,-,-,-,-,-,7350,1683.00,2044.65,7350,7550.00,1050,0.10,1.00,4500,-,-,-,-,-,-
